GEOID,NAME,B27010_018E,B27010_018M,B27010_019E,B27010_019M
42,Pennsylvania,2621929,2405,2210819,5532
06,California,8984702,5584,7476678,10910
54,West Virginia,341304,1119,276843,2360
49,Utah,757885,1772,618890,3634
36,New York,4348523,3059,3691264,7775
11,District of Columbia,223266,818,199032,1885
02,Alaska,162421,1138,113702,1857
12,Florida,4142102,4069,2994854,13552
45,South Carolina,1025151,2275,768510,5306
38,North Dakota,182221,925,149669,1506
23,Maine,247946,859,195755,1846
13,Georgia,2231787,2890,1598380,8003
01,Alabama,1003539,2369,746521,4971
33,New Hampshire,272087,948,228144,1849
41,Oregon,893808,1852,732388,4234
56,Wyoming,120088,1131,89368,1766
04,Arizona,1523220,2396,1176385,6129
22,Louisiana,992612,2012,772738,3824
18,Indiana,1413342,2296,1146135,4485
16,Idaho,359295,1421,269628,2471
09,Connecticut,721814,1649,623800,2953
15,Hawaii,272856,1288,228302,2026
17,Illinois,2713318,2506,2269262,6699
25,Massachusetts,1559698,2028,1380199,4286
48,Texas,6407762,4649,4303974,16583
30,Montana,217115,873,171187,1831
31,Nebraska,409271,1354,324322,2403
39,Ohio,2404125,2571,2013285,5709
08,Colorado,1297254,2252,1054168,4489
34,New Jersey,1768368,2364,1456316,6552
24,Maryland,1240834,1911,1040131,4445
51,Virginia,1751746,3479,1387372,5410
50,Vermont,129357,635,112298,966
37,North Carolina,2122627,3597,1597866,6876
05,Arkansas,619729,1999,483710,3733
53,Washington,1651167,2487,1365231,4816
20,Kansas,613869,1687,476810,3310
40,Oklahoma,840068,1768,582323,3668
55,Wisconsin,1184542,1700,995245,3922
28,Mississippi,607942,2341,428854,3859
29,Missouri,1271018,2217,991215,4539
26,Michigan,2083646,2137,1753821,5510
44,Rhode Island,236312,988,200419,2135
27,Minnesota,1170205,1471,1014783,3101
19,Iowa,660690,1745,559734,3279
35,New Mexico,435323,1488,332609,2572
32,Nevada,642122,1332,492712,3666
10,Delaware,192921,786,157524,1788
72,Puerto Rico,668738,1473,568934,2667
21,Kentucky,912702,2185,761972,3590
46,South Dakota,181618,962,136807,1788
47,Tennessee,1420330,2699,1089218,5375
